,BRITISH_COLUMBIA,CITY_OF_SURREY,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY_INCLUDING_CITY_CENTRE
    40 to 48 weeks ,419080,44640,1925,5345,6145,5965,12495,5680,7090,9015
    49 to 52 weeks ,1337820,140160,6945,20645,17765,16930,38205,20545,19135,26075
Average weeks worked in 2010 ,43.9,44.2,43.6,45.8,44.5,43.5,43.9,44.8,43.5,43.5
  Male labour force aged 15 years and over by work activity in 2010,1223375,130535,6815,16550,16665,16225,36925,17515,19835,26645
    Did not work in 2010 ,58550,7060,515,510,925,840,2420,665,1190,1705
    Worked in 2010 ,1164825,123470,6295,16040,15745,15385,34510,16855,18645,24940
      1 to 13 weeks ,60060,5895,330,550,710,840,1740,810,910,1245
      14 to 26 weeks,94095,8865,575,765,1060,1345,2585,1250,1290,1865
      27 to 39 weeks,81050,7550,440,810,960,925,2135,905,1365,1810
      40 to 48 weeks ,214175,23860,1150,2765,3135,3025,6660,2910,4225,5375
      49 to 52 weeks,715445,77290,3790,11150,9885,9250,21390,10980,10855,14645
  Average weeks worked in 2010,44.3,44.8,43.9,46.5,45.1,44.1,44.6,45.1,44.3,44.2
  Female labour force aged 15 years and over by work activity in 2010,1130870,115105,5500,15375,14875,14920,31770,16200,16465,21970
    Did not work in 2010 ,65695,8140,430,570,1160,1120,2505,860,1510,1935
    Worked in 2010,1065185,106965,5075,14805,13715,13800,29270,15340,14960,20035
      1 to 13 weeks,64620,6550,370,670,815,950,1980,715,1055,1420
      14 to 26 weeks,95610,9790,485,1075,1120,1440,2830,1305,1535,2020
      27 to 39 weeks ,77675,6980,305,990,880,790,1805,985,1220,1525
      40 to 48 weeks,204900,20780,770,2585,3015,2940,5835,2765,2870,3640
      49 to 52 weeks,622375,62865,3150,9490,7885,7680,16815,9565,8280,11425
  Average weeks worked in 2010 ,43.5,43.5,43.3,44.9,43.8,42.8,43.1,44.5,42.5,42.7
Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010 ,2354245,245640,12315,31925,31545,31145,68695,33715,36300,48615
  Did not work in 2010,124240,15205,940,1075,2085,1960,4920,1520,2695,3635
  Worked in 2010,2230005,230435,11370,30845,29455,29190,63775,32195,33605,44975
    Worked full-time in 2010,1713545,183165,9380,24545,23430,22310,52315,23765,27420,36800
    Worked part-time in 2010 ,516465,47275,1990,6300,6030,6875,11465,8430,6190,8175
  Male labour force aged 15 years and over by full-time or part-time weeks worked in 2010,1223375,130535,6810,16550,16665,16225,36930,17515,19835,26645
    Did not work in 2010,58550,7065,520,510,925,845,2420,660,1190,1705
    Worked in 2010,1164825,123470,6295,16040,15745,15385,34510,16850,18645,24940
      Worked full-time in 2010 ,984605,107890,5535,14290,13630,13155,30700,14065,16515,22050
      Worked part-time in 2010,180220,15580,755,1750,2120,2230,3810,2785,2125,2885
  Female labour force aged 15 years and over by full-time or part-time weeks worked in 2010,1130875,115105,5500,15375,14875,14925,31765,16200,16465,21970
    Did not work in 2010,65690,8140,425,570,1165,1120,2500,855,1505,1930
    Worked in 2010,1065180,106970,5075,14805,13715,13800,29265,15340,14960,20035
      Worked full-time in 2010 ,728935,75270,3845,10260,9800,9150,21610,9695,10895,14745
      Worked part-time in 2010,336245,31695,1225,4545,3915,4650,7655,5645,4060,5290
Total employed population aged 15 years and over by place of work status ,2171470,226150,11105,30210,29205,28385,62590,31810,32840,43945
  Worked at home ,174005,13230,460,2260,1460,1875,2495,3760,920,1380
  Worked outside Canada ,12480,1200,20,150,105,205,295,365,70,85
  No fixed workplace address ,304465,37970,1980,4310,4625,4005,11855,4175,7010,8995
  Worked at usual place ,1680525,173750,8650,23490,23015,22300,47950,23515,24835,33480
  Employed males aged 15 years and over by place of work status,1124590,120895,6180,15650,15395,14915,34055,16535,18165,24345
    Worked at home,84015,6305,240,890,765,905,1160,1935,420,655
    Worked outside Canada,9210,920,20,85,95,180,220,260,60,80
    No fixed workplace address ,225840,28570,1515,3230,3385,2910,9205,2835,5490,7005
    Worked at usual place ,805520,85105,4405,11450,11150,10920,23465,11505,12200,16605
  Employed females aged 15 years and over by place of work status,1046875,105260,4925,14555,13810,13470,28540,15280,14675,19600
    Worked at home ,89985,6925,220,1370,695,975,1330,1825,500,720
    Worked outside Canada,3265,285,0,70,0,25,75,105,0,0
    No fixed workplace address ,78615,9405,470,1080,1240,1095,2650,1340,1525,1990
    Worked at usual place ,875005,88645,4235,12040,11865,11380,24480,12010,12640,16880
Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation ,1984985,211715,10630,27800,27640,26305,59805,27690,31850,42475
"  Car, truck or van - as a driver ",1415745,162090,6280,23850,21340,18805,46120,22680,23015,29295
"  Car, truck or van - as a passenger ",110695,13985,385,1435,1800,1505,4950,1405,2510,2895
  Public transit ,250450,27040,3315,1500,3645,4600,6745,1980,5250,8565
  Walked,132205,5460,535,650,480,1035,1240,1055,470,1005
  Bicycle,42260,730,25,135,110,45,120,190,115,140
  Other methods ,33640,2410,90,240,275,320,635,375,485,575
  Employed males aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,1031365,113670,5925,14680,14535,13830,32675,14345,17685,23605
"    Car, truck or van - as a driver ",773160,91815,3935,12705,11990,10910,26500,12065,13705,17640
"    Car, truck or van - as a passenger ",47425,6210,160,710,600,530,2440,590,1180,1335
    Public transit,107650,11930,1575,795,1605,1850,2910,920,2275,3855
    Walked ,57000,1870,210,245,120,315,385,445,155,365
    Bicycle,26600,585,15,120,95,40,100,115,100,120
    Other methods ,19535,1260,25,115,130,190,330,210,265,290
  Employed females aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,953620,98050,4705,13125,13105,12475,27130,13350,14165,18865
"    Car, truck or van - as a driver ",642580,70280,2345,11140,9350,7895,19620,10620,9315,11655
"    Car, truck or van - as a passenger ",63270,7775,230,720,1205,970,2510,815,1325,1555
    Public transit ,142805,15110,1735,710,2040,2755,3830,1065,2980,4715
    Walked,75205,3595,320,400,355,725,855,615,315,640
    Bicycle,15665,150,0,0,0,0,15,70,0,25
    Other methods ,14100,1150,70,125,145,130,300,170,210,285
Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration ,1984985,211720,10625,27800,27640,26305,59805,27690,31850,42475
Median commuting duration,20.4,30.2,30.6,25.7,30.2,30.3,30.1,30.1,30.3,30.4
  Employed males aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,1031365,113670,5925,14680,14540,13830,32675,14345,17685,23605
  Median commuting duration,20.7,30.4,30.7,30.2,30.4,30.5,30.4,30.4,30.4,30.5
  Employed females aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,953620,98050,4705,13120,13105,12475,27130,13345,14165,18865
  Median commuting duration,20,25.5,30.5,20.9,25.2,30.1,25.2,22.8,30.1,30.2
Total employed population aged 15 years and over by time leaving for work ,1984985,211715,10625,27805,27645,26305,59805,27690,31850,42475
  Between 5 and 6:59 a.m.,455025,61530,3285,8330,8485,7195,17665,6625,9935,13220
  Between 7 and 9:00 a.m. ,1097800,100900,4795,13980,12560,12230,27680,15455,14200,18995
  Anytime after 9:00 a.m. ,432160,49295,2550,5495,6595,6880,14460,5610,7715,10260
  Employed males aged 15 years and over by time leaving for work,1031365,113670,5925,14680,14535,13830,32675,14340,17690,23610
    Between 5 and 6:59 a.m.,299990,39020,2185,5850,5175,4535,10915,4205,6160,8340
    Between 7 and 9:00 a.m. ,521570,49925,2360,6135,6270,5930,14215,7535,7490,9845
    Anytime after 9:00 a.m. ,209810,24720,1385,2700,3095,3370,7540,2600,4035,5420
  Employed females aged 15 years and over by time leaving for work,953620,98050,4700,13120,13110,12475,27130,13350,14165,18870
    Between 5 and 6:59 a.m.,155035,22510,1105,2480,3315,2660,6750,2425,3775,4880
    Between 7 and 9:00 a.m. ,576230,50975,2440,7845,6290,6305,13470,7920,6710,9150
    Anytime after 9:00 a.m. ,222350,24570,1165,2795,3500,3510,6915,3005,3680,4840
Total income in 2010 of population aged 15 years and over,3646840,374315,18815,42550,47460,47700,103820,56760,57200,76020
  Without income,182580,25160,990,2030,3625,3810,7690,2710,4305,5295
  With income,3464260,349150,17830,40525,43835,43885,96130,54055,52895,70725
"    Under $5,000",401215,44390,2450,4210,5800,6640,12335,5310,7635,10085
"    $5,000 to $9,999",244705,26635,1480,2355,3465,3795,7620,3480,4435,5915
"    $10,000 to $14,999",333320,35535,2050,2865,4460,4700,10680,3930,6835,8895
"    $15,000 to $19,999",332730,33575,2020,2850,4165,4035,9850,4540,6115,8135
"    $20,000 to $29,999",470255,48115,2650,4460,5530,5825,14685,6665,8295,10950
"    $30,000 to $39,999",404855,40910,2520,4835,5370,4890,11845,5405,6050,8565
"    $40,000 to $49,999",338595,34690,1650,4405,4640,4290,9600,5000,5095,6745
"    $50,000 to $59,999",253215,24845,1285,3765,3215,3040,6490,4085,2955,4245
"    $60,000 to $79,999",330590,30565,1225,5310,4115,3310,7305,5910,3400,4625
"    $80,000 to $99,999",169190,14360,330,2990,1635,1565,3080,3580,1190,1515
"    $100,000 and over",185580,15530,160,2480,1435,1795,2635,6135,885,1045
"      $100,000 to $124,999",89520,7670,115,1375,770,1065,1350,2445,545,660
"      $125,000 and over",96060,7865,50,1100,660,735,1285,3695,335,390
  Median income $,28765,26799,23610,37350,26734,24241,25017,35752,21347,21847
  Average income $,39415,36243,28383,43733,34007,32909,32462,52398,28135,28198
  Total income in 2010 of males aged 15 years and over,1775440,183590,9630,20775,23130,23425,50965,26930,28735,38360
    Without income,79770,11180,410,860,1685,1730,3345,1240,1920,2325
    With income,1695675,172405,9220,19920,21445,21695,47625,25685,26820,36035
"      Under $5,000",189605,20925,1215,1825,2475,3135,6140,2265,3865,5080
"      $5,000 to $9,999",86215,9250,600,770,1310,1295,2610,1145,1530,2125
"      $10,000 to $14,999",133650,14120,965,1005,1750,1935,4230,1415,2815,3780
"      $15,000 to $19,999",129525,13585,825,1015,1765,1565,3930,1700,2790,3610
"      $20,000 to $29,999",201000,21395,1385,1595,2400,2745,6915,2455,3900,5285
"      $30,000 to $39,999",186285,19265,1140,1840,2555,2405,5960,2305,3055,4190
"      $40,000 to $49,999",167405,17000,910,1815,2210,2205,5000,2180,2680,3590
"      $50,000 to $59,999",143765,14900,835,2095,1960,1840,4000,2105,2055,2885
"      $60,000 to $79,999",206395,19980,950,3670,2755,2095,4670,3330,2505,3455
"      $80,000 to $99,999",112520,9940,275,2320,1105,1095,2075,2230,845,1120
"      $100,000 and over",139310,12045,125,1975,1145,1380,2100,4545,775,900
"        $100,000 to $124,999",65045,5625,95,1035,580,825,1015,1610,470,565
"        $125,000 and over",74260,6420,30,945,565,555,1085,2935,305,335
    Median income $,35627,33379,27315,50121,34053,30498,29990,46945,25405,25911
    Average income $,47480,43621,31975,54579,40244,38834,37925,67958,32864,32637
  Total income in 2010 of females aged 15 years and over,1871395,190725,9190,21770,24330,24275,52855,29840,28470,37660
    Without income,102815,13980,585,1170,1945,2080,4350,1475,2385,2970
    With income,1768580,176745,8610,20605,22385,22195,48505,28365,26080,34690
"      Under $5,000",211605,23470,1235,2385,3330,3505,6200,3045,3770,5010
"      $5,000 to $9,999",158490,17385,880,1590,2155,2500,5010,2340,2905,3785
"      $10,000 to $14,999",199675,21415,1090,1855,2710,2765,6455,2515,4025,5110
"      $15,000 to $19,999",203210,19990,1195,1835,2400,2470,5920,2845,3325,4525
"      $20,000 to $29,999",269260,26715,1265,2865,3130,3080,7770,4210,4395,5660
"      $30,000 to $39,999",218570,21650,1375,3000,2805,2485,5890,3100,2995,4370
"      $40,000 to $49,999",171190,17685,740,2590,2430,2095,4600,2825,2410,3155
"      $50,000 to $59,999",109450,9940,455,1665,1255,1200,2495,1980,905,1360
"      $60,000 to $79,999",124195,10580,270,1645,1355,1210,2635,2570,895,1170
"      $80,000 to $99,999",56670,4420,55,670,530,465,1005,1355,345,400
"      $100,000 and over",46270,3490,35,505,290,415,535,1595,105,145
"        $100,000 to $124,999",24475,2035,20,345,195,240,330,835,75,95
"        $125,000 and over",21795,1450,0,160,100,175,205,760,35,50
    Median income $,23624,21832,19472,28895,21331,19727,20668,27754,18139,18570
    Average income $,31683,29046,24537,33247,28033,27118,27098,38310,23273,23586
After-tax income in 2010 of population 15 years and over,3646840,374315,18815,42545,47460,47700,103820,56765,57200,76020
  Without after-tax income,183005,25230,990,2035,3620,3815,7705,2710,4350,5340
  With after-tax income,3463835,349080,17830,40510,43840,43885,96120,54050,52850,70680
"    Under $5,000",408880,45015,2460,4255,5865,6700,12575,5525,7635,10090
"    $5,000 to $9,999",248910,27065,1485,2455,3535,3865,7560,3675,4485,5970
"    $10,000 to $14,999",340505,36160,2105,2930,4535,4665,10950,4100,6875,8980
"    $15,000 to $19,999",352160,35290,2040,2895,4465,4310,10360,4675,6550,8590
"    $20,000 to $29,999",539915,55490,3180,5505,6435,6515,16810,7660,9390,12575
"    $30,000 to $39,999",474000,48205,2910,5795,6070,6080,13880,6435,7040,9950
"    $40,000 to $49,999",367825,37470,1715,5275,5195,4815,9930,5595,4940,6660
"    $50,000 to $59,999",253315,23615,1055,3920,3260,2555,5820,4240,2765,3820
"    $60,000 to $79,999",285615,24725,710,4955,3050,2535,5450,5770,2255,2960
"    $80,000 to $99,999",101395,8720,130,1500,865,1170,1595,2850,610,740
"    $100,000 and over",91325,7325,45,1015,565,675,1195,3525,305,350
  Median after-tax income $,26842,25197,22472,33908,25363,23178,23731,32436,20752,21202
  Average after-tax income $,33758,31352,25560,37309,29790,28733,28611,43001,25281,25351
  After-tax income in 2010 of males 15 years and over,1775440,183585,9630,20780,23130,23425,50965,26925,28735,38360
    Without after-tax income,79655,11195,410,865,1680,1735,3340,1240,1920,2330
    With after-tax income,1695790,172395,9220,19915,21450,21690,47620,25685,26815,36030
"      Under $5,000",192130,21175,1220,1830,2505,3150,6240,2360,3880,5100
"      $5,000 to $9,999",87105,9315,600,780,1330,1305,2595,1185,1530,2125
"      $10,000 to $14,999",136555,14455,1005,1015,1830,1955,4320,1480,2855,3860
"      $15,000 to $19,999",138620,14330,820,1085,1825,1690,4130,1775,3005,3820
"      $20,000 to $29,999",234280,25210,1650,1950,2830,3140,8270,2980,4385,6035
"      $30,000 to $39,999",223580,22650,1370,2220,2955,2930,6840,2595,3730,5100
"      $40,000 to $49,999",198960,21030,1035,2720,2835,2740,5850,2885,2965,4005
"      $50,000 to $59,999",155505,15095,795,2635,2135,1665,3550,2320,1995,2790
"      $60,000 to $79,999",185760,16775,580,3690,2090,1710,3645,3385,1685,2265
"      $80,000 to $99,999",73130,6375,110,1110,660,880,1190,1920,510,615
"      $100,000 and over",70170,5975,30,880,480,520,1000,2795,280,300
    Median after-tax income $,32557,30793,25637,43940,31130,28402,27935,41888,24223,24487
    Average after-tax income $,39804,36947,28463,45538,34721,33423,32802,54128,29022,28879
  After-tax income in 2010 of females 15 years and over,1871395,190725,9190,21770,24330,24275,52855,29840,28465,37660
    Without after-tax income,103350,14035,580,1175,1940,2080,4360,1475,2430,3010
    With after-tax income,1768045,176685,8610,20595,22385,22195,48495,28365,26040,34650
"      Under $5,000",216750,23840,1245,2430,3365,3550,6345,3165,3750,4990
"      $5,000 to $9,999",161810,17750,885,1680,2205,2560,4970,2495,2960,3840
"      $10,000 to $14,999",203950,21700,1100,1910,2710,2710,6630,2620,4020,5115
"      $15,000 to $19,999",213535,20965,1215,1810,2640,2620,6230,2895,3555,4765
"      $20,000 to $29,999",305635,30285,1535,3555,3610,3375,8540,4675,5000,6530
"      $30,000 to $39,999",250420,25555,1535,3570,3115,3150,7040,3835,3310,4845
"      $40,000 to $49,999",168865,16435,675,2555,2360,2080,4080,2705,1975,2650
"      $50,000 to $59,999",97810,8515,260,1285,1130,885,2265,1920,765,1025
"      $60,000 to $79,999",99855,7950,130,1270,965,825,1810,2385,570,700
"      $80,000 to $99,999",28265,2345,20,395,205,290,405,930,105,120
"      $100,000 and over",21160,1350,0,140,85,160,190,735,30,50
    Median after-tax income $,22485,21076,18933,26775,20808,19238,20065,25736,17847,18185
    Average after-tax income $,27958,25892,22451,29353,25065,24150,24495,32926,21429,21683
Composition of total income in 2010 of population 15 years and over %,100,100,100,100,100,100,100,100,100,100
  Market income %,88.3,88.1,83.5,92,87.8,87.7,86.5,91,83.7,83.6
    Employment income %,73.7,77.3,77.9,84.2,80.1,79.5,78.4,69,77.6,77.7
      Wages and salaries %,69,73.1,76,80.1,76.6,75.7,73.9,64.1,73.4,74
      Self-employment income %,4.6,4.2,1.9,4.1,3.6,3.8,4.5,4.9,4.2,3.7
    Investment income %,6.1,4.6,2,3,2.7,3.6,3.2,10.4,1.8,1.8
"    Retirement pensions, superannuation and annuities %",6.9,4.8,2.5,4,3.9,3.6,3.7,8.9,3.3,3.1
    Other money income %,1.7,1.4,1.1,0.9,1.1,1.1,1.1,2.7,1,1
  Government transfer payments %,11.7,11.9,16.5,7.9,12.2,12.3,13.5,9,16.3,16.4
    Canada/Quebec Pension Plan benefits %,3.7,3,3.1,2.3,3,2.6,2.8,3.8,3,3
    Old Age Security pensions and Guaranteed Income Supplement %,3.3,3,3.7,1.8,3.3,3,3.2,2.8,3.9,3.8
    Employment Insurance benefits %,1.5,1.8,2.2,1.4,1.9,1.8,2.5,0.7,2.6,2.5
    Child benefits %,1.2,1.7,2,1.3,1.8,2,2.3,0.8,2.6,2.5
    Other income from government sources %,2,2.3,5.4,1.2,2.2,2.9,2.7,0.9,4.2,4.5
  Income taxes paid as a % of total income,14.4,13.5,9.9,14.7,12.4,12.7,11.9,17.9,10.2,10.2
  After-tax income as a % of total income,85.6,86.5,90,85.3,87.6,87.3,88.1,82.1,89.8,89.8
Net capital gains or losses as a % of total income,2.8,2.8,0.6,0.8,2.5,4.1,2.3,5.5,1,0.9
  Composition of total income in 2010 of males 15 years and over %,100,100,100,100,100,100,100,100,100,100
    Market income %,91.1,91.5,87,94.8,91.4,90.6,90.3,93.7,88.1,87.9
      Employment income %,76.8,81,83,86.8,84.1,82.5,82.5,72.4,82.3,82.5
        Wages and salaries %,71.5,76,80.9,82.4,79.5,78.6,76.6,67.3,76.3,77.5
        Self-employment income %,5.3,5,2.1,4.4,4.6,4,5.9,5.1,6,5
      Investment income %,5.5,4.1,0.7,3,2.4,3.4,2.7,9.3,1.5,1.3
"      Retirement pensions, superannuation and annuities %",7.3,5.2,2.3,4.4,4.1,3.9,4.1,9.3,3.4,3.1
      Other money income %,1.5,1.3,0.9,0.6,0.8,0.8,1,2.7,0.9,0.9
    Government transfer payments %,8.9,8.5,13,5.2,8.6,9.4,9.7,6.3,11.8,12.1
      Canada/Quebec Pension Plan benefits %,3.2,2.6,2.5,1.9,2.7,2.4,2.6,3.1,2.6,2.6
      Old Age Security pensions and Guaranteed Income Supplement %,2.4,2.2,2.4,1.2,2.3,2.3,2.4,2,2.8,2.7
      Employment Insurance benefits %,1.2,1.4,2.3,0.8,1.5,1.7,1.8,0.4,2.2,2.2
      Child benefits %,0.1,0.1,0.2,0,0.1,0.2,0.2,0,0.2,0.2
      Other income from government sources %,1.9,2.2,5.6,1.1,2.1,2.8,2.7,0.8,4.1,4.4
    Income taxes paid as a % of total income,16.2,15.3,11,16.6,13.7,13.9,13.5,20.3,11.7,11.5
    After-tax income as a % of total income,83.8,84.7,89,83.4,86.3,86.1,86.5,79.7,88.3,88.5
  Net capital gains or losses as a % of total income,2.9,2.7,0.5,0.7,1.5,3.3,2.6,5.3,1.2,1.1
  Composition of total income in 2010 of females 15 years and over %,100,100,100,100,100,100,100,100,100,100
    Market income %,84.3,83.2,78.5,87.7,83,83.7,81.2,86.7,77.2,77.5
      Employment income %,69.1,72,70.6,80,74.7,75.1,72.8,63.6,70.8,70.7
        Wages and salaries %,65.4,68.9,69,76.3,72.5,71.6,70.2,59,69,69
        Self-employment income %,3.7,3.1,1.6,3.7,2.2,3.5,2.6,4.6,1.7,1.7
      Investment income %,7,5.3,3.8,3,3.2,3.9,4,12.1,2.2,2.6
"      Retirement pensions, superannuation and annuities %",6.3,4.3,2.8,3.4,3.6,3.3,3.1,8.4,3.2,3.1
      Other money income %,2,1.6,1.3,1.3,1.5,1.4,1.3,2.6,1,1.1
    Government transfer payments %,15.7,16.8,21.5,12.3,17,16.3,18.8,13.3,22.8,22.5
      Canada/Quebec Pension Plan benefits %,4.4,3.6,4.1,2.9,3.5,3,3.1,5,3.6,3.7
      Old Age Security pensions and Guaranteed Income Supplement %,4.5,4.2,5.6,2.6,4.7,4,4.3,4.1,5.4,5.5
      Employment Insurance benefits %,1.9,2.4,2.2,2.4,2.4,1.9,3.3,1.2,3.3,3
      Child benefits %,2.8,4.1,4.5,3.3,4,4.5,5.2,1.9,6.2,5.7
      Other income from government sources %,2.1,2.5,5.2,1.2,2.4,3,2.8,1.1,4.4,4.6
    Income taxes paid as a % of total income,11.8,10.9,8.5,11.7,10.6,10.9,9.6,14.1,8.1,8.2
    After-tax income as a % of total income,88.2,89.1,91.5,88.3,89.4,89.1,90.4,85.9,92,91.8
  Net capital gains or losses as a % of total income,2.7,3.1,0.7,1,3.9,5.2,1.9,5.9,0.6,0.6
"Population aged 15 years and over who worked full year, full time and with employment income in 2010",1141340,121820,6100,18065,15340,14525,33855,17145,16790,22895
  Median employment income in 2010 $,49143,45642,38708,53568,46165,45551,41329,61661,39340,39147
  Average employment income in 2010 $,58016,53208,41896,59413,50377,51820,46973,77166,42535,42365
"  Males aged 15 years and over who worked full year, full time and with employment income in 2010",650435,71600,3555,10515,8995,8550,19885,10085,10020,13580
    Median employment income in 2010 $,55334,50737,44215,63238,50852,49623,44590,69919,42901,43208
    Average employment income in 2010 $,65599,59281,45947,68061,55315,56883,51111,89712,46012,45995
"  Females aged 15 years and over who worked full year, full time and with employment income in 2010",490905,50225,2545,7550,6350,5970,13975,7070,6765,9310
    Median employment income in 2010 $,42839,40481,36570,44166,40268,41486,37909,51031,35919,35983
    Average employment income in 2010 $,47970,44549,36233,47370,43382,44573,41083,59267,37387,37072
Income in 2010 of population aged 15 years and over not in economic families,702335,44845,5490,5295,4315,5815,9495,7990,6440,11935
  Median total income $,27747,28831,23086,35324,29216,25739,29463,35080,20225,21288
  Average total income $,36592,35464,28536,40983,34691,33755,36304,43519,27664,28066
  Median after-tax income $,25958,26611,22167,31666,27000,24291,27459,31930,19558,20775
  Average after-tax income $,31639,30891,25536,35261,30467,29539,31524,37241,24557,25008
  Income in 2010 of males aged 15 years and over not in economic families,341165,22815,3145,2590,2140,3175,4905,3000,3860,7005
    Median total income $,30579,32419,24529,40678,34531,30014,33517,40133,20551,23691
    Average total income $,39650,38406,30280,47512,39469,37314,40456,47941,29220,29696
    Median after-tax income $,28095,29365,23258,37043,31160,27685,30055,35829,20135,22393
    Average after-tax income $,33705,33043,26888,40229,34114,32134,34577,40377,25749,26260
  Income in 2010 of females aged 15 years and over not in economic families,361165,22030,2350,2705,2180,2640,4590,4990,2575,4925
    Median total income $,25619,25047,19800,29683,22841,22273,25877,31599,19704,19793
    Average total income $,33704,32418,26203,34738,29998,29481,31869,40860,25330,25747
    Median after-tax income $,24408,23875,19507,28139,22172,21792,24842,29421,19066,19324
    Average after-tax income $,29689,28663,23727,30509,26884,26422,28264,35355,22769,23226
Total population by decile of adjusted after-tax family income,4324455,463340,22185,54160,58190,58280,131800,67355,71370,93555
  In bottom half of the Canadian distribution,2144675,232170,15420,19990,27105,32295,71400,24000,41955,57375
    In bottom decile,502820,49695,3915,3570,5740,8395,12930,5250,9890,13805
    In second decile,442815,43255,3400,2790,4975,6420,13700,4600,7375,10775
    In third decile,393935,45080,3110,3320,5625,6325,13260,4560,8880,11985
    In fourth decile,402095,47255,2485,4490,5220,5565,16785,4710,8005,10485
    In fifth decile,403010,46895,2515,5820,5545,5590,14730,4885,7805,10320
  In top half of the Canadian distribution,2179780,231170,6765,34170,31085,25985,60395,43355,29415,36180
    In sixth decile,417640,48035,1940,6035,6845,5930,13620,5210,8465,10405
    In seventh decile,425225,45215,1810,5880,6425,4820,13240,6590,6445,8255
    In eighth decile,435015,48200,1555,7730,6770,5055,12595,7985,6510,8070
    In ninth decile,454685,48265,1085,7950,6625,6025,12080,9085,5415,6505
    In top decile,447220,41450,365,6580,4420,4155,8860,14485,2580,2950
  Total male population by decile of adjusted after-tax family income,2125625,229805,11275,26760,28785,28870,65490,32230,36400,47670
    In bottom half of the Canadian distribution,1021605,112665,7610,9345,13030,15555,35065,10775,21285,28895
      In bottom decile,244035,23905,2015,1495,2750,4165,6190,2300,4990,7005
      In second decile,199840,20090,1560,1105,2335,2900,6555,1875,3750,5315
      In third decile,185700,22140,1600,1600,2695,2990,6720,2080,4460,6055
      In fourth decile,194220,23110,1215,2170,2500,2710,8310,2165,4040,5255
      In fifth decile,197800,23420,1225,2975,2750,2790,7285,2360,4045,5265
    In top half of the Canadian distribution,1104025,117135,3660,17415,15755,13320,30425,21455,15115,18780
      In sixth decile,206750,23840,1055,3015,3445,2925,6645,2385,4370,5425
      In seventh decile,214220,23015,955,3050,3250,2510,6745,3215,3295,4245
      In eighth decile,220065,24150,840,3865,3415,2580,6310,3830,3315,4155
      In ninth decile,232860,24995,605,4135,3470,3065,6210,4695,2815,3420
      In top decile,230130,21140,215,3345,2175,2240,4515,7330,1320,1530
  Total female population by decile of adjusted after-tax family income,2198830,233535,10910,27400,29405,29410,66310,35130,34970,45880
    In bottom half of the Canadian distribution,1123070,119500,7810,10645,14080,16740,36335,13225,20670,28475
      In bottom decile,258785,25790,1905,2075,2990,4235,6740,2950,4900,6805
      In second decile,242970,23170,1845,1685,2640,3515,7140,2725,3625,5465
      In third decile,208235,22940,1510,1725,2925,3340,6540,2480,4420,5930
      In fourth decile,207875,24140,1265,2315,2720,2855,8470,2545,3960,5230
      In fifth decile,205210,23465,1290,2845,2800,2805,7445,2530,3760,5050
    In top half of the Canadian distribution,1075755,114030,3105,16750,15325,12675,29980,21905,14300,17400
      In sixth decile,210895,24200,890,3020,3395,3005,6975,2830,4095,4980
      In seventh decile,211005,22200,860,2825,3180,2310,6500,3380,3145,4005
      In eighth decile,214955,24050,715,3865,3355,2475,6290,4155,3200,3915
      In ninth decile,221820,23270,485,3815,3155,2960,5865,4390,2595,3085
      In top decile,217085,20315,155,3235,2245,1915,4345,7155,1260,1420
Population in private households for income status,4245795,463340,22185,54160,58190,58280,131800,67355,71370,93555
  Less than 18 years,823410,109045,3930,13500,13675,13645,33515,13410,17370,21310
    Less than 6 years,257305,34665,1700,5140,3735,3495,11485,3635,5470,7175
  18 to 64 years,2789715,300920,16030,35985,38065,38750,84700,40605,46780,62815
  65 years and over,632670,53370,2225,4670,6450,5890,13585,13345,7215,9435
In low income in 2010 based on after-tax low-income measure (LIM-AT),696855,71695,5825,4900,8085,11950,20210,7405,13325,19150
  Less than 18 years,157245,20350,1250,1265,2255,3495,6410,1665,4020,5270
    Less than 6 years,47720,6155,555,345,640,915,2010,355,1340,1895
  18 to 64 years,451370,44840,3950,3170,4930,7505,12175,4680,8420,12375
  65 years and over,88235,6505,625,470,900,945,1630,1060,880,1505
Prevalence of low income in 2010 based on after-tax low-income measure %,16.4,15.5,26.3,9.1,13.9,20.5,15.3,11,18.7,20.5
  Less than 18 years %,19.1,18.7,31.8,9.4,16.5,25.6,19.1,12.4,23.1,24.7
    Less than 6 years %,18.5,17.8,32.6,6.8,17.3,26.2,17.5,9.6,24.5,26.4
  18 to 64 years %,16.2,14.9,24.7,8.8,13,19.4,14.4,11.5,18,19.7
  65 years and over %,13.9,12.2,28.1,10.1,14,16,12,7.9,12.2,15.9
  Males in private households for income status,2086025,229805,11270,26760,28785,28870,65490,32230,36400,47675
