,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY,CITY_OF_SURREY
Standard error of average after-tax income $,535,741,663,1515,585,744,522,377,316
After-tax income in 2005 of males 15 years and over not in economic families,2240,1250,1375,2510,3755,2455,3170,5410,16745
"  Under $1,000",145,55,115,150,295,85,310,450,1150
"  $1,000 to $2,999",0,15,20,45,55,40,20,25,195
"  $3,000 to $4,999",10,10,10,25,85,40,70,85,250
"  $5,000 to $6,999",65,25,20,60,75,20,65,125,315
"  $7,000 to $9,999",155,60,30,135,205,60,125,280,765
"  $10,000 to $11,999",210,25,50,150,170,80,160,370,845
"  $12,000 to $14,999",125,90,70,135,225,95,185,305,925
"  $15,000 to $19,999",250,130,105,250,350,285,375,625,1745
"  $20,000 to $24,999",185,80,185,260,290,190,365,550,1555
"  $25,000 to $29,999",235,115,185,280,310,275,265,500,1665
"  $30,000 to $34,999",270,160,115,205,355,205,275,545,1580
"  $35,000 to $39,999",135,100,85,225,350,220,210,345,1320
"  $40,000 to $44,999",145,70,85,150,270,150,260,410,1145
"  $45,000 to $49,999",105,85,90,105,170,145,185,285,885
"  $50,000 and over",200,230,210,335,555,560,315,520,2405
Median after-tax income $,24734,30544,27067,26133,27203,31462,23831,24069,27026
Average after-tax income $,26053,33763,29812,32292,30069,38917,26851,26520,30806
Standard error of average after-tax income $,770,1344,1049,2864,916,1555,771,552,572
After-tax income in 2005 of females 15 years and over not in economic families,1730,1670,1680,2405,3855,4150,2475,4205,17965
"  Under $1,000",75,90,75,125,200,120,170,245,860
"  $1,000 to $2,999",10,45,0,40,60,25,40,45,220
"  $3,000 to $4,999",15,20,20,10,80,30,65,75,225
"  $5,000 to $6,999",65,10,40,60,90,50,75,145,385
"  $7,000 to $9,999",100,40,90,130,165,65,140,240,725
"  $10,000 to $11,999",115,30,90,130,190,50,130,245,745
"  $12,000 to $14,999",225,100,150,200,315,295,240,465,1530
"  $15,000 to $19,999",250,330,275,365,795,755,505,755,3270
"  $20,000 to $24,999",195,190,205,270,420,610,305,510,2195
"  $25,000 to $29,999",150,180,175,235,375,480,210,365,1815
"  $30,000 to $34,999",175,180,135,240,275,470,190,360,1660
"  $35,000 to $39,999",150,140,70,190,245,315,175,325,1290
"  $40,000 to $44,999",50,115,125,95,205,210,85,135,880
"  $45,000 to $49,999",65,70,65,75,110,160,45,105,595
"  $50,000 and over",85,135,160,240,345,500,105,195,1575
Median after-tax income $,20232,24240,21715,21759,20470,25778,18615,18902,22097
Average after-tax income $,23450,26607,25780,25443,25503,29225,21618,22371,25751
Standard error of average after-tax income $,719,780,832,759,720,713,656,487,294
Total persons 15 years and over not in economic families,3965,2915,3050,4920,7610,6605,5645,9610,34715
  Prevalence of low income before tax in 2005 %,44.9,35.3,38.2,39.2,42,22.1,46.4,45.7,38
  Prevalence of low income after tax in 2005 %,39.5,28.5,32.3,33.5,35.5,14.2,39.2,39.3,31.4
Males 15 years and over not in economic families,2235,1245,1375,2515,3750,2450,3170,5410,16750
  Prevalence of low income before tax in 2005 %,41.6,30.5,30.9,34.6,37.5,20.2,39.7,40.6,34.4
  Prevalence of low income after tax in 2005 %,38.6,26.1,27.3,31,34,15.1,34.7,36.3,30.4
Females 15 years and over not in economic families,1725,1670,1675,2405,3860,4150,2475,4205,17965
  Prevalence of low income before tax in 2005 %,49.1,39.2,44.2,44.1,46.6,23.2,54.7,52.3,41.3
  Prevalence of low income after tax in 2005 %,40.5,30.2,36,36.4,37.1,13.9,45.1,43.2,32.3
Total number of occupied private dwellings,7705,12930,15585,17820,33160,23695,20230,27935,131135
Average number of rooms per dwelling,4.8,7.7,7.4,6.6,6.6,7.3,6.5,6,6.8
Average number of bedrooms per dwelling,2,3.3,3.4,2.9,3.1,2.9,3.1,2.8,3
Total number of occupied private dwellings by housing tenure,7710,12930,15585,17820,33160,23700,20230,27940,131140
  Owned,3885,11165,12950,12615,24305,20145,13590,17475,98655
  Rented,3825,1770,2640,5205,8860,3550,6645,10465,32490
  Band housing,0,0,0,0,0,0,0,0,0
Total number of occupied private dwellings by condition of dwelling,7710,12930,15590,17820,33160,23695,20230,27935,131135
  Regular maintenance only,5395,9910,12100,12435,25595,18165,13585,18990,97200
  Minor repairs,1695,2595,2965,4040,6325,4430,5200,6895,27250
  Major repairs,615,430,520,1340,1245,1100,1440,2060,6690
Total number of occupied private dwellings by period of construction,7710,12935,15590,17820,33160,23695,20235,27935,131140
"  Period of construction, before 1946",165,255,140,220,320,635,580,745,2325
"  Period of construction, 1946 to 1960",755,400,435,1010,855,1125,3100,3855,7675
"  Period of construction, 1961 to 1970",1135,720,515,1775,1550,1190,2800,3930,9675
"  Period of construction, 1971 to 1980",1705,2070,1630,2775,4795,4035,4840,6545,21850
"  Period of construction, 1981 to 1985",955,1050,1480,2385,3875,3680,2200,3160,15625
"  Period of construction, 1986 to 1990",700,1600,2985,2550,5485,3710,1735,2430,18760
"  Period of construction, 1991 to 1995",1290,1690,3635,3370,5540,2840,2310,3595,20675
"  Period of construction, 1996 to 2000",595,1960,2405,2240,4530,2855,1105,1705,15695
"  Period of construction, 2001 to 2006",405,3190,2370,1490,6220,3620,1560,1965,18855
Total number of occupied private dwellings by structural type of dwelling,7705,12930,15585,17820,33165,23695,20230,27940,131140
  Single-detached house,1265,7765,7135,7580,10680,15035,7970,9235,57430
  Semi-detached house,160,695,220,55,625,1365,375,535,3500
  Row house,605,1790,2415,1700,5340,2445,1010,1615,15305
"  Apartment, duplex",560,1605,4110,2120,7115,965,6280,6845,22755
"  Apartment, building that has five or more storeys",1610,10,25,635,110,55,75,1685,2515
"  Apartment, building that has fewer than five storeys",3435,1020,1385,5660,8340,3555,4350,7780,27755
  Other single-attached house,45,30,25,0,0,25,30,70,155
  Movable dwelling,20,20,270,60,960,255,150,165,1730
Total population by ethnic origin (single and multiple responses) - 20% sample data,17320,37705,50795,51660,109475,59940,65555,82880,392450
  Total population - Single responses,11265,17195,33680,33240,77550,28030,46330,57590,247290
  Total population - Multiple responses,6060,20510,17115,18420,31920,31905,19235,25290,145155
Canadian - Total responses,2410,8460,6365,6820,11570,11525,7555,9970,54710
  Canadian - Single responses,1100,3040,2240,2760,4255,3925,3095,4195,20420
  Canadian - Multiple responses,1310,5410,4130,4055,7315,7600,4465,5775,34290
English - Total responses,3340,12185,8330,9325,16740,22775,10050,13395,82755
  English - Single responses,905,2055,1455,1825,3195,5685,2000,2905,17120
  English - Multiple responses,2435,10130,6880,7500,13550,17090,8050,10490,65635
French - Total responses,1170,3270,2510,3235,5205,4935,3190,4360,23520
  French - Single responses,115,250,215,300,395,370,250,365,1895
  French - Multiple responses,1055,3015,2295,2935,4810,4565,2940,3995,21625
Scottish - Total responses,2385,8765,6090,7135,11245,14790,7275,9660,57685
  Scottish - Single responses,270,1005,765,845,1335,2130,845,1115,7195
  Scottish - Multiple responses,2115,7765,5325,6290,9910,12665,6430,8540,50490
Irish - Total responses,1935,5895,4350,5000,8180,11050,5040,6975,41460
  Irish - Single responses,185,415,435,475,515,1250,390,575,3655
  Irish - Multiple responses,1755,5485,3915,4525,7665,9810,4650,6400,37800
German - Total responses,1825,5825,4300,5115,7795,9345,4800,6625,39000
  German - Single responses,395,1005,995,1150,1560,2380,945,1335,8425
  German - Multiple responses,1430,4820,3300,3975,6235,6965,3860,5290,30580
Italian - Total responses,305,1705,1365,1455,1950,1925,1260,1570,9970
  Italian - Single responses,70,395,495,405,445,375,260,325,2445
  Italian - Multiple responses,240,1315,870,1050,1500,1555,1005,1240,7525
Chinese - Total responses,1425,1280,4805,7030,3710,2700,2910,4335,23860
  Chinese - Single responses,1150,730,3350,5480,2570,1910,1985,3130,17180
  Chinese - Multiple responses,280,550,1455,1550,1135,785,925,1205,6685
North American Indian - Total responses,525,890,780,875,1875,885,1555,2075,7385
  North American Indian - Single responses,225,105,165,165,235,80,375,595,1335
  North American Indian - Multiple responses,295,785,620,715,1645,805,1180,1475,6050
Ukrainian - Total responses,815,2730,1940,1875,2900,3970,1815,2625,16045
  Ukrainian - Single responses,255,410,330,345,550,950,445,705,3290
  Ukrainian - Multiple responses,555,2315,1610,1535,2350,3025,1365,1920,12760
Dutch (Netherlands) - Total responses,330,3025,2080,1760,2350,2995,1550,1880,14090
  Dutch (Netherlands) - Single responses,70,1105,850,530,660,930,420,490,4560
  Dutch (Netherlands) - Multiple responses,260,1920,1230,1225,1700,2065,1125,1390,9530
Polish - Total responses,620,1315,1270,1790,2205,2500,1095,1715,10785
  Polish - Single responses,355,110,365,775,550,385,380,740,2920
  Polish - Multiple responses,260,1210,900,1015,1655,2115,710,975,7870
East Indian - Total responses,1645,3015,11730,4500,47675,1780,24170,25815,94510
  East Indian - Single responses,1500,2540,10550,3890,43590,1520,22330,23830,85915
  East Indian - Multiple responses,145,470,1185,605,4090,260,1835,1985,8595
Russian - Total responses,260,1265,720,1080,1530,1650,940,1200,7440
  Russian - Single responses,80,185,70,200,195,220,115,195,1065
  Russian - Multiple responses,180,1085,645,880,1335,1425,825,1010,6375
Welsh - Total responses,285,1115,735,705,1310,1835,905,1195,6895
  Welsh - Single responses,0,40,20,35,40,85,55,70,280
  Welsh - Multiple responses,275,1075,715,670,1270,1755,850,1125,6610
Filipino - Total responses,1270,705,3070,4680,3480,465,3670,4940,17340
  Filipino - Single responses,985,420,2210,3445,2510,290,2825,3810,12685
  Filipino - Multiple responses,295,280,855,1240,965,180,840,1130,4655
Norwegian - Total responses,325,1445,1255,790,1830,2465,1165,1485,9265
  Norwegian - Single responses,50,145,135,110,200,405,205,260,1250
  Norwegian - Multiple responses,270,1300,1115,680,1630,2060,960,1230,8020
Portuguese - Total responses,65,475,860,480,790,325,640,710,3640
  Portuguese - Single responses,40,155,505,250,320,115,405,445,1795
  Portuguese - Multiple responses,30,315,355,235,470,210,235,260,1845
Métis - Total responses,255,530,395,405,940,580,720,975,3830
  Métis - Single responses,90,110,100,45,125,75,115,210,670
  Métis - Multiple responses,160,415,290,360,820,505,605,765,3160
"British Isles, n.i.e. - Total responses",210,790,410,780,965,1620,510,725,5285
"  British Isles, n.i.e. - Single responses",45,185,90,135,280,475,120,160,1330
"  British Isles, n.i.e. - Multiple responses",165,600,320,650,685,1140,390,555,3955
Swedish - Total responses,375,1050,785,940,1290,1695,805,1175,6940
  Swedish - Single responses,90,110,40,130,85,105,120,210,675
  Swedish - Multiple responses,280,940,745,815,1210,1590,685,965,6260
Spanish - Total responses,465,455,780,1145,1860,525,965,1435,6205
  Spanish - Single responses,65,35,70,65,375,45,215,275,870
  Spanish - Multiple responses,400,425,715,1080,1485,480,755,1155,5330
American - Total responses,130,730,440,575,890,1055,620,755,4445
  American - Single responses,0,30,55,35,90,95,40,45,360
  American - Multiple responses,125,700,385,545,795,960,585,705,4085
Hungarian (Magyar) - Total responses,210,570,435,490,845,550,710,920,3810
  Hungarian (Magyar) - Single responses,85,70,125,260,215,135,205,295,1100
  Hungarian (Magyar) - Multiple responses,125,500,310,230,635,415,500,620,2710
Jewish - Total responses,30,195,150,65,280,565,120,155,1405
  Jewish - Single responses,10,30,20,0,70,145,10,15,285
  Jewish - Multiple responses,30,165,130,55,210,420,110,145,1120
Greek - Total responses,70,170,350,215,175,305,165,235,1450
  Greek - Single responses,30,60,190,110,50,90,110,135,635
  Greek - Multiple responses,40,110,160,110,125,215,55,95,815
Jamaican - Total responses,105,110,215,165,270,65,130,235,1060
  Jamaican - Single responses,65,45,85,55,95,10,80,150,430
  Jamaican - Multiple responses,35,60,135,105,180,60,50,85,630
Danish - Total responses,110,770,485,355,995,1070,470,580,4265
  Danish - Single responses,60,125,110,120,160,275,130,185,975
  Danish - Multiple responses,55,650,380,240,835,795,340,395,3290
Austrian - Total responses,40,705,525,475,710,775,390,430,3615
  Austrian - Single responses,0,110,35,50,85,140,40,40,465
  Austrian - Multiple responses,45,595,485,420,625,630,345,390,3145
Romanian - Total responses,90,405,255,355,585,420,220,310,2330
  Romanian - Single responses,35,80,25,135,150,45,80,115,555
  Romanian - Multiple responses,55,325,225,220,440,375,140,195,1775
Vietnamese - Total responses,520,410,1860,1445,1175,60,1125,1645,6605
  Vietnamese - Single responses,435,345,1460,1200,1030,45,920,1355,5430
  Vietnamese - Multiple responses,85,70,405,245,145,20,205,290,1170
Belgian - Total responses,55,165,135,125,165,340,130,180,1110
  Belgian - Single responses,0,50,0,10,20,55,30,30,165
  Belgian - Multiple responses,55,110,130,115,145,290,100,155,945
Lebanese - Total responses,65,20,205,255,90,95,50,110,780
  Lebanese - Single responses,65,0,75,135,40,25,25,90,375
  Lebanese - Multiple responses,0,20,130,125,50,65,20,20,405
Québécois - Total responses,0,10,0,0,10,10,0,0,35
  Québécois - Single responses,0,10,0,0,0,0,0,0,10
  Québécois - Multiple responses,0,0,0,0,10,10,0,0,25
Korean - Total responses,540,430,1755,3705,295,985,180,720,7890
  Korean - Single responses,525,420,1685,3555,245,960,160,685,7545
  Korean - Multiple responses,10,20,65,155,55,25,20,30,350
"African, n.i.e. - Total responses",145,50,140,535,285,115,270,410,1545
"  African, n.i.e. - Single responses",90,15,45,225,145,10,55,150,595
"  African, n.i.e. - Multiple responses",55,35,95,310,135,105,210,260,945
Swiss - Total responses,50,115,195,250,285,425,135,185,1455
  Swiss - Single responses,15,20,45,50,55,60,20,35,260
  Swiss - Multiple responses,40,95,155,200,230,360,115,155,1185
Finnish - Total responses,75,265,175,315,410,390,280,355,1905
  Finnish - Single responses,35,45,40,120,100,90,65,100,495
  Finnish - Multiple responses,40,215,130,195,315,300,215,260,1410
Pakistani - Total responses,65,90,395,180,1805,30,590,655,3155
  Pakistani - Single responses,55,60,255,90,1325,35,435,490,2250
  Pakistani - Multiple responses,10,30,140,90,485,0,150,165,900
Iranian - Total responses,65,35,90,270,270,165,160,225,1055
  Iranian - Single responses,50,20,80,170,165,120,150,195,740
  Iranian - Multiple responses,20,20,15,105,105,45,10,30,315
Croatian - Total responses,75,125,240,270,345,425,190,260,1670
  Croatian - Single responses,15,60,75,145,165,150,85,105,700
  Croatian - Multiple responses,55,70,170,115,185,270,100,155,965
Sri Lankan - Total responses,15,30,395,175,210,35,110,125,970
  Sri Lankan - Single responses,15,0,225,175,185,10,80,95,685
  Sri Lankan - Multiple responses,0,30,170,0,30,30,30,30,285
Haitian - Total responses,10,40,50,10,0,10,0,10,120
  Haitian - Single responses,10,30,50,0,0,10,0,10,100
  Haitian - Multiple responses,0,10,0,0,0,0,0,0,20
Japanese - Total responses,115,315,480,395,450,530,450,560,2725
  Japanese - Single responses,55,110,225,200,195,315,210,265,1310
  Japanese - Multiple responses,60,200,255,195,250,220,235,295,1415
Czech - Total responses,55,150,190,220,225,395,160,215,1405
  Czech - Single responses,0,50,65,95,70,120,70,75,480
  Czech - Multiple responses,45,100,130,120,160,270,95,145,925
Acadian - Total responses,10,60,0,25,55,0,50,60,200
  Acadian - Single responses,0,0,0,0,20,0,0,0,20
  Acadian - Multiple responses,10,55,0,25,40,0,50,60,185
Icelandic - Total responses,50,310,115,150,325,525,140,195,1610
  Icelandic - Single responses,0,15,10,35,50,70,30,30,195
  Icelandic - Multiple responses,50,285,110,120,280,455,115,165,1420
"Arab, n.i.e. - Total responses",0,0,130,160,265,35,80,80,670
"  Arab, n.i.e. - Single responses",0,0,65,80,110,10,30,30,295
"  Arab, n.i.e. - Multiple responses",0,0,65,80,155,30,50,55,370
Serbian - Total responses,45,70,20,150,70,400,25,70,780
  Serbian - Single responses,40,40,0,105,15,290,20,60,520
  Serbian - Multiple responses,0,25,15,50,55,115,0,10,260
Inuit - Total responses,10,25,0,0,50,70,0,0,160
  Inuit - Single responses,0,0,0,0,0,0,0,0,0
  Inuit - Multiple responses,10,30,0,10,50,70,0,0,160
"Yugoslav, n.i.e. - Total responses",80,190,90,90,110,150,195,270,910
"  Yugoslav, n.i.e. - Single responses",25,40,15,35,35,50,105,135,310
"  Yugoslav, n.i.e. - Multiple responses",50,155,80,55,75,95,85,140,600
Slovak - Total responses,55,70,55,115,180,185,160,215,825
  Slovak- Single responses,55,50,35,20,75,45,35,90,310
  Slovak - Multiple responses,0,20,20,100,110,140,125,125,515
Mexican - Total responses,75,140,70,125,120,160,160,230,850
  Mexican - Single responses,10,10,35,35,45,60,95,100,290
  Mexican - Multiple responses,70,135,40,90,70,100,60,130,565
Black - Total responses,95,60,10,55,220,95,180,275,710
  Black - Single responses,85,30,0,10,75,0,0,90,200
  Black - Multiple responses,10,30,10,40,145,95,180,190,505
Guyanese - Total responses,10,20,15,0,10,10,20,30,85
  Guyanese - Single responses,15,0,0,0,10,0,10,20,30
  Guyanese - Multiple responses,0,15,10,0,0,10,10,10,45
"South Asian, n.i.e. - Total responses",50,55,440,100,1445,20,1030,1075,3135
"  South Asian, n.i.e. - Single responses",45,55,420,95,1260,25,975,1025,2880
"  South Asian, n.i.e. - Multiple responses",0,0,20,0,180,0,50,55,255
Salvadorean - Total responses,130,65,120,370,410,0,330,465,1430
  Salvadorean - Single responses,105,20,75,300,345,0,230,330,1075
  Salvadorean - Multiple responses,30,45,45,70,65,0,105,135,355
West Indian - Total responses,10,40,0,25,145,10,50,65,295
  West Indian - Single responses,0,15,10,0,55,0,40,40,125
  West Indian - Multiple responses,15,25,0,25,90,10,15,25,170
Trinidadian/Tobagonian - Total responses,25,0,95,40,165,60,40,70,425
  Trinidadian/Tobagonian - Single responses,25,0,45,10,35,0,25,50,140
  Trinidadian/Tobagonian - Multiple responses,0,10,50,25,125,55,20,20,285
Egyptian - Total responses,10,0,100,60,20,25,150,155,365
  Egyptian - Single responses,0,0,10,35,10,15,135,135,200
  Egyptian - Multiple responses,10,10,90,25,15,15,10,20,165
Punjabi - Total responses,70,220,1125,125,5115,75,2260,2330,8985
  Punjabi - Single responses,75,135,735,40,3270,20,1425,1495,5695
  Punjabi - Multiple responses,0,80,390,85,1840,55,835,830,3290
Census family income in 2005 of all families - 20% sample data,4480,11035,14325,14355,31245,18040,18285,22755,111760
  Median family income $,44335,76531,64750,55345,55185,84203,51845,50622,60710
  Average family income $,50210,84091,73458,67540,65095,109263,59213,57442,73929
  Standard error of average family income $,961,1164,938,929,646,2005,685,585,457
  Census family income in 2005 of couple families,3325,9655,12490,11965,26595,16105,15365,18685,95500
    Median family income $,50423,80707,68756,62553,58922,89738,55741,54764,66022
    Average family income $,55107,89263,77040,73065,69087,114489,62853,61475,78831
    Standard error of average family income $,1141,1268,1025,1052,680,2158,744,647,505
    Census family income in 2005 of married couple families,2630,8515,11555,10765,24685,14790,13925,16555,86860
      Median family income $,50701,81695,68694,63022,58420,90193,55385,54513,65887
      Average family income $,55543,90293,77297,73609,69009,116126,62496,61392,79339
      Standard error of average family income $,1280,1388,1060,1131,718,2313,762,674,541
    Census family income in 2005 of common-law couple families,695,1140,940,1200,1910,1315,1440,2135,8640
      Median family income $,50068,76838,70368,58854,65503,87202,64120,58699,66963
      Average family income $,53460,81562,73875,68188,70102,96070,66303,62119,73729
      Standard error of average family income $,2508,2754,3980,2624,1839,4148,2971,2194,1173
  Census family income in 2005 of male lone-parent families,160,285,345,395,940,380,680,835,3175
    Median family income $,53350,48219,44192,50152,40403,64756,38043,40816,45317
    Average family income $,51886,58012,51219,54836,53560,117182,52662,52516,61117
    Standard error of average family income $,5194,4400,3799,4728,7901,19412,5701,4741,3685
  Census family income in 2005 of female lone-parent families,995,1100,1485,1995,3710,1560,2245,3235,13085
    Median family income $,32042,39859,42019,33414,33753,45287,32376,32216,35553
    Average family income $,33570,45382,48519,36912,39379,53518,36232,35414,41252
    Standard error of average family income $,1369,1838,1971,1160,956,3035,1112,882,610
Census family income in 2005 of all families - 20% sample data,4480,11035,14325,14355,31245,18040,18280,22755,111755
"  Under $10,000",260,225,695,695,1270,450,1020,1290,4620
"  $10,000 to $19,999",385,360,700,930,1995,480,1245,1630,6095
"  $20,000 to $29,999",560,640,1115,1565,3310,1020,2110,2670,10315
"  $30,000 to $39,999",680,790,1395,1505,3685,1185,2275,2960,11520
"  $40,000 to $49,999",605,920,1350,1575,3495,1330,2030,2635,11300
"  $50,000 to $59,999",495,920,1290,1485,3540,1425,2110,2610,11270
"  $60,000 to $69,999",410,1015,1325,1120,2910,1285,1695,2110,9760
"  $70,000 to $79,999",355,1070,1125,1045,2350,1335,1505,1860,8785
"  $80,000 to $89,999",195,935,990,840,2000,1155,1200,1400,7325
"  $90,000 to $99,999",230,825,905,675,1570,1180,745,975,6130
"  $100,000 and over",290,3345,3430,2910,5115,7185,2350,2640,24620
Median family income $,44335,76531,64750,55345,55185,84203,51845,50622,60710
Average family income $,50210,84091,73458,67540,65095,109263,59213,57442,73929
Standard error of average family income $,961,1164,938,929,646,2005,685,585,457
Census family income in 2005 of couple families,3330,9650,12490,11965,26600,16105,15360,18690,95500
"  Under $10,000",145,160,550,500,935,310,725,870,3320
"  $10,000 to $19,999",210,150,430,540,1155,290,725,930,3490
"  $20,000 to $29,999",370,470,945,1170,2615,820,1605,1975,7995
"  $30,000 to $39,999",420,580,1115,1095,2875,985,1815,2240,8880
"  $40,000 to $49,999",485,730,1130,1220,2890,1080,1710,2200,9245
"  $50,000 to $59,999",390,785,1120,1220,3145,1165,1760,2150,9595
"  $60,000 to $69,999",350,935,1125,995,2475,1190,1530,1885,8605
"  $70,000 to $79,999",280,955,1045,970,2225,1190,1440,1720,8105
"  $80,000 to $89,999",195,875,925,785,1835,1035,1130,1320,6775
"  $90,000 to $99,999",225,780,825,665,1480,1100,695,915,5775
"  $100,000 and over",255,3245,3290,2795,4960,6935,2240,2490,23720
Median family income $,50423,80707,68756,62553,58922,89738,55741,54764,66022
Average family income $,55107,89263,77040,73065,69087,114489,62853,61475,78831
Standard error of average family income $,1141,1268,1025,1052,680,2158,744,647,505
Total income in 2005 of all persons 15 years of age and over not in census families - 20% sample data,4485,3740,4590,6325,11090,7585,7915,12405,45735
"  Under $1,000",285,220,335,460,955,230,725,1010,3210
"  $1,000 to $2,999",30,75,75,155,270,85,135,165,825
"  $3,000 to $4,999",30,40,75,60,270,75,160,195,715
"  $5,000 to $6,999",170,30,105,180,245,95,220,390,1045
"  $7,000 to $9,999",280,110,210,385,535,175,410,690,2105
"  $10,000 to $11,999",325,90,250,335,565,150,430,755,2145
"  $12,000 to $14,999",440,330,620,500,1420,465,890,1330,4665
"  $15,000 to $19,999",510,545,540,685,1345,1045,1080,1590,5745
"  $20,000 to $24,999",345,325,465,580,860,705,710,1060,3995
"  $25,000 to $29,999",310,220,275,455,640,700,510,820,3110
"  $30,000 to $34,999",345,320,310,515,780,640,590,930,3490
"  $35,000 to $39,999",340,305,275,370,535,555,365,710,2750
"  $40,000 to $44,999",315,260,105,355,540,445,360,675,2370
"  $45,000 to $49,999",185,165,210,255,445,315,375,560,1945
"  $50,000 to $59,999",255,270,335,375,660,585,355,610,2830
"  $60,000 and over",320,445,400,655,1030,1325,600,920,4785
Median income $,22143,27545,20723,22908,19579,30370,19530,20257,22640
Average income $,27132,32330,27550,30902,28040,40013,25792,26277,30245
Standard error of average income $,625,831,707,1601,609,1049,535,409,352
Total income in 2005 of males 15 years of age and over not in census families,2440,1565,1870,3060,4950,2720,4070,6510,20675
"  Under $1,000",165,85,190,220,440,85,395,565,1585
"  $1,000 to $2,999",20,10,40,60,105,40,45,60,315
"  $3,000 to $4,999",15,15,20,30,115,45,85,95,325
"  $5,000 to $6,999",80,20,25,60,85,30,90,170,395
"  $7,000 to $9,999",165,70,65,205,255,80,155,315,995
"  $10,000 to $11,999",220,35,110,170,200,80,215,435,1020
"  $12,000 to $14,999",135,110,125,165,450,125,280,415,1385
"  $15,000 to $19,999",240,170,110,240,425,250,385,625,1830
"  $20,000 to $24,999",175,90,225,250,390,205,365,545,1700
"  $25,000 to $29,999",170,90,100,270,275,220,260,435,1390
"  $30,000 to $34,999",215,105,180,270,295,185,360,575,1610
"  $35,000 to $39,999",185,145,100,190,275,175,230,415,1305
"  $40,000 to $44,999",155,120,65,200,340,175,200,355,1250
"  $45,000 to $49,999",95,90,100,145,250,110,250,345,1040
"  $50,000 to $59,999",160,135,175,210,420,280,275,440,1660
"  $60,000 and over",245,285,230,395,620,635,475,720,2880
Median income $,25073,34197,26591,27039,25125,34961,25480,25369,27654
Average income $,28784,38235,32113,35981,32877,47658,30358,29768,34638
Standard error of average income $,915,1562,1258,3188,1049,2263,861,637,667
Total income in 2005 of females 15 years of age and over not in census families,2050,2175,2730,3260,6135,4870,3845,5895,25065
"  Under $1,000",115,130,145,245,515,140,330,450,1625
"  $1,000 to $2,999",10,65,35,100,165,45,95,100,505
"  $3,000 to $4,999",20,20,50,35,155,35,75,95,390
"  $5,000 to $6,999",90,10,80,115,165,65,130,220,650
"  $7,000 to $9,999",115,45,145,180,280,90,260,370,1115
"  $10,000 to $11,999",105,60,145,165,365,75,210,320,1125
"  $12,000 to $14,999",305,225,500,335,965,340,610,910,3285
"  $15,000 to $19,999",265,375,430,440,920,790,695,965,3920
"  $20,000 to $24,999",175,235,240,340,475,495,345,515,2300
"  $25,000 to $29,999",135,125,175,185,360,480,250,390,1720
"  $30,000 to $34,999",130,210,125,255,485,455,230,355,1885
"  $35,000 to $39,999",155,160,175,180,260,380,135,295,1445
"  $40,000 to $44,999",160,145,35,155,200,265,165,320,1120
"  $45,000 to $49,999",85,80,110,115,190,200,125,210,900
"  $50,000 to $59,999",90,135,155,165,240,305,80,170,1170
"  $60,000 and over",80,155,175,265,410,695,125,205,1900
Median income $,19841,22642,17759,20196,17063,28079,16454,17122,19829
Average income $,25162,28082,24421,26136,24139,35743,20961,22420,26622
Standard error of average income $,825,837,784,796,684,1002,592,484,325
